DATE,EIEI
2008. 09,73.7
2008. 09,75.9
2008. 10,76.4
2008. 10,77
2008. 11,69.3
2008. 11,70.7
2008. 12,72.1
2008. 12,67.1
2009. 01,54.7
2009. 01,60.3
2009. 02,60.8
2009. 02,65.1
2009. 03,69.8
2009. 03,64.4
2009. 04,66.6
2009. 04,63.8
2009. 05,68.7
2009. 05,68.2
2009. 06,76.9
2009. 06,71.8
2009. 07,70.4
2009. 07,67.6
2009. 08,66.3
2009. 08,70.5
2009. 09,78
2009. 09,76.7
2009. 10,71.9
2009. 10,74.4
2009. 11,79.3
2009. 11,80.8
2009. 12,87.5
2009. 12,80.9
2010. 01,73.7
2010. 01,79.9
2010. 02,77.1
2010. 02,86.2
2010. 03,95.8
2010. 03,88.6
2010. 04,89.8
2010. 04,86.2
2010. 05,85.9
2010. 05,85.3
2010. 06,96.9
2010. 06,90.5
2010. 07,92.5
2010. 07,88.4
2010. 08,91.4
2010. 08,95
2010. 09,87.2
2010. 09,91.8
2010. 10,88.5
2010. 10,89.8
2010. 11,92
2010. 11,91.7
2010. 12,99.2
2010. 12,91.2
2011. 01,82.5
2011. 01,89.5
2011. 02,77
2011. 02,88.4
2011. 03,100
2011. 03,92.7
2011. 04,91.9
2011. 04,88.2
2011. 05,99.2
2011. 05,96.5
2011. 06,101.6
2011. 06,95
2011. 07,95.5
2011. 07,92.9
2011. 08,96.2
2011. 08,100.2
2011. 09,87.8
2011. 09,90.4
2011. 10,83.4
2011. 10,86.4
2011. 11,91.6
2011. 11,91.4
2011. 12,100.5
2011. 12,89.9
2012. 01,87.1
2012. 01,96.9
2012. 02,97.3
2012. 02,102.1
2012. 03,96.5
2012. 03,89.6
2012. 04,94.7
2012. 04,95.2
2012. 05,94.3
2012. 05,91.9
2012. 06,91.2
2012. 06,85.4
2012. 07,94
2012. 07,91.1
2012. 08,80.3
2012. 08,83.8
2012. 09,83
2012. 09,85.6
2012. 10,84.3
2012. 10,87.1
2012. 11,82.4
2012. 11,82.1
2012. 12,91.1
2012. 12,87
2013. 01,80.3
2013. 01,86
2013. 02,74.8
2013. 02,83.8
2013. 03,90.1
2013. 03,85.8
2013. 04,88
2013. 04,84.3
2013. 05,91
2013. 05,86.9
2013. 06,91.4
2013. 06,87.5
2013. 07,96.7
2013. 07,91.5
2013. 08,89.7
2013. 08,93.7
2013. 09,79.2
2013. 09,85.5
2013. 10,97.7
2013. 10,98.6
2013. 11,90.9
2013. 11,90.3
2013. 12,97.5
2013. 12,90.7
2014. 01,80.6
2014. 01,90.3
2014. 02,85.2
2014. 02,93.9
2014. 03,97.9
2014. 03,93.2
2014. 04,98.6
2014. 04,94.5
2014. 05,96.5
2014. 05,94.3
2014. 06,93.4
2014. 06,91.3
2014. 07,99.2
2014. 07,94.1
2014. 08,80.8
2014. 08,86.4
2014. 09,89.3
2014. 09,94.3
2014. 10,89.3
2014. 10,90.1
2014. 11,100.4
2014. 11,101.8
2014. 12,112.4
2014. 12,101.9
2015. 01,90.5
2015. 01,97
2015. 02,88.5
2015. 02,102
2015. 03,106.6
2015. 03,98.6
2015. 04,101.5
2015. 04,96.9
2015. 05,96.5
2015. 05,96.3
2015. 06,105.6
2015. 06,98.2
2015. 07,106.4
2015. 07,101.2
2015. 08,94.2
2015. 08,103.2
2015. 09,97.7
2015. 09,103.1
2015. 10,102.6
2015. 10,103.6
2015. 11,98
2015. 11,99.1
2015. 12,111.8
2015. 12,100.9
2016. 01,86.8
2016. 01,94.9
2016. 02,83
2016. 02,94.3
2016. 03,103.7
2016. 03,96.4
2016. 04,99.1
2016. 04,97.6
2016. 05,102.2
2016. 05,101.2
2016. 06,112.2
2016. 06,104.1
2016. 07,99.7
2016. 07,97.5
2016. 08,101.8
2016. 08,106.9
2016. 09,96.5
2016. 09,102.1
2016. 10,101.5
2016. 10,103.7
2016. 11,110.1
2016. 11,109.4
2016. 12,124.6
2016. 12,109.1
2017. 01,96.8
2017. 01,109.5
2017. 02,99.3
2017. 02,108.1
2017. 03,125.6
2017. 03,115.4
2017. 04,115.7
2017. 04,113
2017. 05,123.2
2017. 05,122.3
2017. 06,132
2017. 06,121.9
2017. 07,120.3
2017. 07,118.9
2017. 08,114.3
2017. 08,120.8
2017. 09,120.4
2017. 09,119.4
2017. 10,100.9
2017. 10,116.3
2017. 11,118.7
2017. 11,118.7
2017. 12,130.8
2017. 12,119.4
2018. 01,118.4
2018. 01,124.1
2018. 02,110.2
2018. 02,128.2
2018. 03,128.7
2018. 03,117.9
2018. 04,119
2018. 04,115.9
2018. 05,118.2
2018. 05,117
2018. 06,115.6
2018. 06,109.6
2018. 07,110.1
2018. 07,109
2018. 08,103.3
2018. 08,108.9
2018. 09,98
2018. 09,106.5
2018. 10,107.4
2018. 10,110
2018. 11,105.7
2018. 11,105.6
2018. 12,113.3
2018. 12,103.4
2019. 01,99.7
2019. 01,104.2
2019. 02,82.3
2019. 02,96.4
2019. 03,108.3
2019. 03,102.4
2019. 04,113.5
2019. 04,108.7
2019. 05,108.2
2019. 05,101.8
2019. 06,107.4
2019. 06,102.2
2019. 07,106.8
2019. 07,103.4
2019. 08,101
2019. 08,106.2
2019. 09,97.6
2019. 09,106.1
2019. 10,105.7
2019. 10,107.9
2019. 11,106.9
2019. 11,106.4
2019. 12,125.9
2019. 12,114.8
2020. 01,95.6
2020. 01,107
2020. 02,95.5
2020. 02,102.3
2020. 03,119.6
2020. 03,110
2020. 04 p),115.2
2020. 04 p),115.1
2020. 05 p),112.1
2020. 05 p),108.3
