"지표선택별",2003. 01,2003. 02,2003. 03,2003. 04,2003. 05,2003. 06,2003. 07,2003. 08,2003. 09,2003. 10,2003. 11,2003. 12,2004. 01,2004. 02,2004. 03,2004. 04,2004. 05,2004. 06,2004. 07,2004. 08,2004. 09,2004. 10,2004. 11,2004. 12,2005. 01,2005. 02,2005. 03,2005. 04,2005. 05,2005. 06,2005. 07,2005. 08,2005. 09,2005. 10,2005. 11,2005. 12,2006. 01,2006. 02,2006. 03,2006. 04,2006. 05,2006. 06,2006. 07,2006. 08,2006. 09,2006. 10,2006. 11,2006. 12,2007. 01,2007. 02,2007. 03,2007. 04,2007. 05,2007. 06,2007. 07,2007. 08,2007. 09,2007. 10,2007. 11,2007. 12,2008. 01,2008. 02,2008. 03,2008. 04,2008. 05,2008. 06,2008. 07,2008. 08,2008. 09,2008. 10,2008. 11,2008. 12,2009. 01,2009. 02,2009. 03,2009. 04,2009. 05,2009. 06,2009. 07,2009. 08,2009. 09,2009. 10,2009. 11,2009. 12,2010. 01,2010. 02,2010. 03,2010. 04,2010. 05,2010. 06,2010. 07,2010. 08,2010. 09,2010. 10,2010. 11,2010. 12,2011. 01,2011. 02,2011. 03,2011. 04,2011. 05,2011. 06,2011. 07,2011. 08,2011. 09,2011. 10,2011. 11,2011. 12,2012. 01,2012. 02,2012. 03,2012. 04,2012. 05,2012. 06,2012. 07,2012. 08,2012. 09,2012. 10,2012. 11,2012. 12,2013. 01,2013. 02,2013. 03,2013. 04,2013. 05,2013. 06,2013. 07,2013. 08,2013. 09,2013. 10,2013. 11,2013. 12,2014. 01,2014. 02,2014. 03,2014. 04,2014. 05,2014. 06,2014. 07,2014. 08,2014. 09,2014. 10,2014. 11,2014. 12,2015. 01,2015. 02,2015. 03,2015. 04,2015. 05,2015. 06,2015. 07,2015. 08,2015. 09,2015. 10,2015. 11,2015. 12,2016. 01,2016. 02,2016. 03,2016. 04,2016. 05,2016. 06,2016. 07,2016. 08,2016. 09,2016. 10,2016. 11,2016. 12,2017. 01,2017. 02,2017. 03,2017. 04,2017. 05,2017. 06,2017. 07,2017. 08,2017. 09,2017. 10,2017. 11,2017. 12,2018. 01,2018. 02,2018. 03,2018. 04,2018. 05,2018. 06,2018. 07,2018. 08,2018. 09,2018. 10,2018. 11,2018. 12,2019. 01,2019. 02,2019. 03,2019. 04,2019. 05,2019. 06,2019. 07,2019. 08,2019. 09,2019. 10,2019. 11,2019. 12,2020. 01,2020. 02,2020. 03,2020. 04,2020. 05,2020. 06
"경제심리지수(원계열)",100.1,101.5,90.3,96.7,94.6,91.0,90.6,97.8,97.8,97.7,102.2,102.1,105.7,106.8,105.2,108.1,98.0,95.2,93.8,94.8,96.5,93.9,90.1,88.1,93.6,107.9,110.9,110.5,103.1,101.3,97.9,102.7,106.4,104.9,109.3,112.5,115.5,117.1,118.0,116.3,109.4,103.9,102.6,105.0,106.8,109.5,109.6,107.1,105.9,113.1,113.7,115.3,114.6,113.3,115.0,117.6,116.6,115.2,114.3,111.2,111.5,114.1,106.4,107.9,103.1,97.6,91.8,101.0,96.5,79.4,66.7,55.5,62.7,65.8,69.3,88.1,93.8,97.5,98.4,108.0,109.4,112.2,108.2,110.1,113.3,116.9,115.7,117.3,116.4,115.3,115.1,113.7,114.2,111.8,113.2,111.5,111.3,113.0,109.3,113.1,111.1,107.8,106.9,105.3,105.1,102.9,102.9,98.4,99.6,103.8,105.1,108.9,104.5,99.3,94.5,92.8,91.5,89.3,88.4,89.0,92.5,94.6,97.0,96.5,95.8,94.8,94.0,93.7,94.5,96.2,96.4,96.3,99.1,101.5,99.8,101.3,99.6,95.7,93.6,96.0,99.0,93.9,95.6,94.6,96.4,101.5,99.7,102.2,100.5,89.1,93.3,94.9,94.5,95.1,94.9,91.4,91.4,90.0,91.8,95.0,92.9,92.6,94.0,96.2,95.7,94.2,93.7,92.0,94.2,96.2,98.8,98.4,99.5,98.6,97.7,98.9,97.5,101.0,101.0,100.7,98.1,99.8,96.3,98.3,100.7,99.0,93.7,94.9,97.8,93.2,92.2,92.4,89.8,95.6,94.7,95.8,92.1,92.8,89.6,88.8,91.7,91.1,91.9,92.9,95.7,87.2,63.7,55.7,57.8,63.1
"경제심리지수(순환변동치)",94.9,94.6,94.4,94.5,95.0,95.7,96.7,97.7,98.7,99.7,100.4,100.9,101.2,101.1,100.8,100.3,99.6,98.8,97.8,96.9,96.1,95.6,95.6,96.2,97.4,99.1,100.8,102.3,103.6,104.7,105.8,106.8,108.0,109.1,110.2,111.2,111.8,112.0,111.8,111.3,110.5,109.6,108.9,108.4,108.1,108.1,108.3,108.7,109.5,110.5,111.8,113.1,114.4,115.4,116.1,116.4,116.1,115.4,114.3,112.9,111.1,109.1,106.8,104.2,101.2,97.8,93.8,89.3,84.4,79.5,75.2,72.6,72.0,73.6,77.1,82.0,87.6,93.3,98.5,103.1,106.8,109.7,111.8,113.3,114.4,115.1,115.5,115.7,115.9,115.8,115.7,115.4,115.0,114.5,113.9,113.1,112.2,111.3,110.4,109.6,108.8,108.1,107.4,106.6,105.8,104.9,104.1,103.3,102.5,101.9,101.2,100.4,99.3,98.1,96.6,95.3,94.1,93.1,92.5,92.3,92.3,92.6,93.0,93.5,94.0,94.6,95.2,95.9,96.5,97.1,97.6,98.0,98.1,98.1,98.0,97.7,97.4,97.2,97.1,97.1,97.1,97.2,97.2,97.3,97.4,97.4,97.2,96.9,96.5,95.9,95.5,95.0,94.6,94.0,93.4,92.7,92.0,91.6,91.5,91.8,92.3,93.0,93.7,94.3,94.7,95.0,95.2,95.5,95.8,96.2,96.7,97.2,97.8,98.3,98.9,99.3,99.6,99.8,99.8,99.6,99.2,98.7,98.1,97.7,97.2,96.7,96.2,95.7,95.1,94.6,94.1,93.6,93.3,93.2,93.1,93.1,93.1,93.1,93.0,92.9,92.4,91.5,89.8,87.0,83.2,78.2,72.6,66.9,61.6,56.4
